id,dayofyear,quote,author,year
1,234,There is reward for kindness to every living thing,Muhammad,2021
1,235,Become more Grateful,Noumani Ali Khan,2021
1,236,Review life in a holistic way,Shaima Shamdeen,2021
1,237,As long as your heart is beating you have a purpose,A. Helwa,2021
1,238,Whatever you are not changing you are choosing,Laurie Buchanan,2021
1,239,Push yourself. Because no one else is going to do it for you,Unknown,2021
1,240,"If you judge people, you have no time to love them",Mother Teresa,2021
1,241,"If you have been hurt many times, and you still know how to smile. Trust me you are strong.",Unknown,2021
1,242,It's when we sit at ease with what arises in the mind that we come to know it as it is,Headspace,2021
1,243,You just have to believe in yourself and not let anyone's words come in and define you and change your path,Misty Copeland,2021
1,244,You can't argue with passion,Tim Burton,2021
1,245,You must set your heart on fire,Mark Nepo,2021
1,246,Your life is your art,Oprah Winfrey,2021
1,247,You are the author of your own life. How will your story unfold?,Unknown,2021
1,248,We have to acknowledge sometimes that this moment is enough. This place is enough.,Sue Monk Kidd,2021
1,249,Intuition is working all the time - you just have to listen to it.,Pam Grier,2021
1,250,"There is this desire, this wish to do better.",Rill Murray,2021
1,251,Telling the truth is a great gift.,Kevin Hart,2021
1,252,"Sometimes, in not knowing ourselves fully, we rely on the opinions of others, who may not even know themselves.",Headspace,2021
1,253,Compassion is not conditional,Jeff Weiner,2021
1,254,Trade your expectation for appreciation,Tony Robbins,2021
1,255,"Every time you tell the the truth, it clears he field for other people to tell their truth, and then the truth gets bigger and bigger.",Glennon Doyle Melton,2021
1,256,The privilege of a lifetime is being who you are,Joseph Campell,2021
1,257,"Each time a man stands up for an ideal? he sends forth a tiny ripple of hope, and crossing each other form a million different centers of energy and daring, those ripples build a current that can sweep down the mightiest walls of oppression.",Robert Kennedy,2021
1,258,"A simple rule for life and work: Don't rush, but don't wait. Thoughtful action.",James Clear,2021
1,259,Gratitude cultivates an appreciation for all that is beautiful around us,Bold Moves,2021
1,260,"If they hadn't tried to break me down, I wouldn't know that I am unbreakable.",Gabourey Sidibe,2021
1,261,Your life is purchased by where you spend your attention,James Clear,2021
1,262,"Whoever you've been and wherever you've been, it never leaves you.",Bruce Springsteen,2021
1,263,Forgive everything,Michael Caine,2021
1,264,"Don't let people that don't matter too much, matter too much.",Wes Moore,2021
1,265,"No matter who you are, being kind is the easiest thing you can do.",Dwayne Johnson,2021
1,266,No love is wasted.,Glennon Doyle Melton,2021
1,267,Quality is never an accident. It is always the result of intelligent effort.,John Ruskin,2021
1,268,"The world will see you the way you see you, and treat you the way you treat yourself.",Beyonce,2021
1,269,Happiness is there for the taking - and making,Oprah Winfrey,2021
1,270,"If we live for one another, together we can change the world.",Blake Mycoskie,2021
1,271,"When you meet people who strive to make a big difference in the world, it makes a big difference in who you become.",Brendon Buchard,2021
1,272,Life is hard enough. Let's not take our mind too seriously.,Headspace,2021
1,273,I believe the limitlessness of humans,Alicia Keys,2021
1,274,Let every step you take move you in the direction of love.,Oprah Winfrey,2021
1,275,Discipline is choosing between what you want now and what you want most.,Abraham Lincoln,2021
1,276,The great gift of Easter is hope. ,Basit Hume,2021
1,277,"To err is human; to forgive, divine.",Alexander Pope,2021
1,278,Kindness is the greatest form of love we can show in our daily lives.,Bold Moves,2021
1,279,Stake your claim on what it is you're here to do.,Ru Paul,2021
1,280,Loneliness adds beauty to life.,Henry Rollins,2021
1,281,The monotony and solitude of a quiet life stimulates the creative mind.,Albert Einstein,2021
1,282,"Pray that your loneliness may spur you into finding something to live for, great enough to die for.",Dag Hammarskjold,2021
1,283,Is he alone who has courage on his right hand and faith on his left hand?,Charles Lindbergh,2021
1,284,I restore myself when I am alone.,Marilyn Monroe,2021
1,285,In solitude the mind gains strength and learns to lean upon itself.,Laurence Sterne,2021
1,286,It is far better to be alone than to be in bad company.,George Washington,2021
1,287,"At some stage we have to be willing to let go even of those thoughts, opinions and beliefs that matter to us most.",Headspace,2021
1,288,"It is the hour to rend thy chains, the blossom time of souls.",Katharine Lee Bates,2021
1,289,Resurrection is a Leap into a whole new way of thinking.,Deepak Chopra,2021
1,290,"Identity your problems, but give your power and energy to solutions.",Tony Robbins,2021
1,291,We must develop and maintain the capacity to forgive,"Martin Luther King, Jr.",2021
1,292,A rebirth out of spiritual adversity causes us to become new creatures,James E. Faust,2021
1,293,To have faith is to have wings,J.M. Barrie,2021
1,294,"Life is a gift, and it offers us the privilege, opportunity, and responsibility to give something back by becoming more.",Tony Robbins,2021
1,295,Be a blessing to others and your life will be blessed.,Tony Robbins,2021
1,296,Don't let people's judgement define who you are? know who you are.,Miley Cyrus,2021
1,297,I feel the most beautiful when I can just be myself.,Beyonce,2021
1,298,I've gotta love me more than anybody else loves me.,Mary J. Blige,2021
1,299,People need truth the way they need air.,Glennon Doyle Melton,2021
1,300,One of the most beautiful things in the world is people laughing.,D.L. Hughley,2021
1,301,A day without laugher is a day wasted.,Charlie Chaplin,2021
1,302,"If you laugh, you think, and you cry, that's a full day.",Jim Valvano,2021
1,303,Laugh and the world laughs with you,Anthony Burgess,2021
1,304,"If you want help, help yourself.",Chris Rock,2021
1,305,"The longer the search, the sweeter the find.",Lisa Congdon,2021
1,306,What I want for each if you is to be able to claim the essence if the phenomenon that is your life.,Oprah Winfrey,2021
1,307,"If you can't make it better, you can laugh at it.",Erma Bombeek,2021
1,308,I don't trust anyone who doesn't laugh.,Maya Angelou,2021
1,309,"In the same way that life feeds art, art feeds life.",Nicole Kidman,2021
1,310,Stillness is your essential nature.,Eckhart Tolle,2021
